日時,番組名,公開年,評価,ID,原題,IMDb
2026/03/17 05:00,シングル・イン・ソウル,2023,3.7,102181,Single in Seoul,6.1
2026/03/17 06:45,塔の上のラプンツェル,2010,3.9,54469,Tangled,7.7
2026/03/17 08:30,RED SILK 血塗られた暗号,不明,-,,,
2026/03/17 11:00,ソードフィッシュ,2001,3.5,1212,Swordfish,6.5
2026/03/17 12:45,居眠り磐音,2019,3.7,89830,,
2026/03/17 15:00,ラ・コシーナ／厨房,2024,3.2,101100,La cocina,7.0
2026/03/17 17:30,ウーマン・トーキング 私たちの選択,2022,3.6,98565,Women Talking,6.9
2026/03/17 19:30,六つの顔,2025,4.1,104083,,
2026/03/17 21:00,スカーレット 復讐のダイヤモンド,2024,－,104097,Duchess </br,-
2026/03/17 23:00,ブエノスアイレス,1997,3.8,48635,春光乍洩 Happy Together,-
2026/03/18 00:40,異人たち,2023,3.4,100239,All of Us Strangers,7.6
2026/03/18 02:30,きいろいゾウ,2013,2.7,58275,,
2026/03/18 08:10,リアリティ,2023,3.3,100073,Reality,6.7
2026/03/18 09:45,アドレナリン：フルスロットル,2024,2.5,102924,Get Fast </br,3.7
2026/03/18 11:15,エイリアン,1979,4.1,5686,Alien,8.5
2026/03/18 13:15,ロスト・フライト,2022,3.8,98666,Plane,6.5
2026/03/18 15:10,セプテンバー5,2024,3.6,102986,September 5,7.1
2026/03/18 16:50,ゆとりですがなにか インターナショナル,2023,3.7,99336,,
2026/03/18 18:50,映画 イチケイのカラス,2023,3.4,97492,,
2026/03/18 21:00,盗月者,2024,3.7,102480,盜月者 The Moon Thieves,
2026/03/18 23:00,2046,2004,3.0,1225,2046,7.4
2026/03/19 01:10,Away,2019,3.5,91938,Away,6.7
2026/03/19 02:30,ギミー・ヘブン,2004,1.6,1069,,
2026/03/19 08:00,金の国 水の国,2023,3.8,97399,,
2026/03/19 10:00,明日に向って撃て！,1969,4.0,3319,Butch Cassidy and the Sundance Kid,8.0
2026/03/19 12:00,グラディエーターⅡ 英雄を呼ぶ声,2024,3.7,102038,Gladiator II,6.5
2026/03/19 14:40,AI崩壊,2020,3.0,90456,,
2026/03/19 17:00,運び屋,2018,3.9,90319,The Mule,7.0
2026/03/19 19:00,陪審員2番,2024,4.1,103047,Juror #2,7.0
2026/03/19 21:00,科捜研の女 −劇場版−,2021,3.6,94346,,
2026/03/19 23:00,花様年華,2000,3.8,1470,花様年華 In the Mood for Love,
2026/03/20 00:40,ストレンジ・ダーリン,2023,3.6,103792,Strange Darling,7.0
2026/03/20 05:45,ノスフェラトゥ,2024,3.1,103180,Nosferatu,7.1
2026/03/20 09:00,ジェシー・ジェームズの暗殺,2007,3.1,53241,The Assassination of Jesse James by the Coward Robert Ford,7.5
2026/03/20 11:50,セブン,1995,3.9,17531,Se7en,8.6
2026/03/20 14:00,インタビュー・ウィズ・ヴァンパイア,1994,3.5,42514,Interview with the Vampire,7.5
2026/03/20 16:10,トロイ,2004,3.6,1206,Troy,7.3
2026/03/20 19:00,ヒットマン エージェント：ジュン,2020,3.5,93195,Hitman: Agent Jun,6.4
2026/03/20 21:00,ヒットマン リサージェンス,2025,3.4,103591,Hitman 2,5.5
2026/03/20 23:10,恋する惑星,1994,3.6,44299,重慶森林 Chungking Express,
2026/03/21 01:00,サブスタンス,2024,3.8,101590,The Substance,7.2
2026/03/21 03:30,ハリケーン,不明,-,,,
2026/03/21 03:30,ハリケーン,不明,-,,,
2026/03/21 05:40,闇金ドッグスX 前編,2024,1.0,102007,,
2026/03/21 06:45,ジュラシック・パーク,1993,4.1,45490,Jurassic Park,8.2
2026/03/21 09:00,ロスト・ワールド ジュラシック・パーク,1997,3.0,51009,The Lost World: Jurassic Park,6.6
2026/03/21 11:15,ジュラシック・パークⅢ,2001,3.2,1462,Jurassic Park III,6.0
2026/03/21 13:00,ジュラシック・ワールド,2015,3.7,79542,Jurassic World,6.9
2026/03/21 15:15,ジュラシック・ワールド／炎の王国,2018,3.4,86390,Jurassic World: Fallen Kingdom,6.1
2026/03/21 17:30,ジュラシック・ワールド／新たなる支配者,2022,3.4,95217,Jurassic World: Dominion,5.6
2026/03/21 20:00,ジュラシック・ワールド／復活の大地,2025,3.1,103408,Jurassic World: Rebirth,5.8
2026/03/21 22:30,ゴッドマザー コシノアヤコの生涯,2025,3.7,100462,,
2026/03/22 00:30,シン・仮面ライダー,2023,3.3,94843,,
2026/03/22 02:40,もしも徳川家康が総理大臣になったら,2024,3.2,100771,,
2026/03/22 05:30,366日,2024,3.5,102311,,
2026/03/22 07:35,近畿地方のある場所について,2025,2.8,103059,,
2026/03/22 09:20,罪人たち,2025,3.8,103795,Sinners,7.5
2026/03/22 11:45,orange－オレンジ－,2015,3.5,82169,,
2026/03/22 14:20,バースデーカード,2016,3.8,83974,,
2026/03/22 16:30,手紙,2006,3.9,33720,,
2026/03/22 18:40,ラーゲリより愛を込めて,2022,3.9,95937,,
2026/03/22 21:00,35年目のラブレター,2025,4.1,101326,,
2026/03/22 23:15,アンティル・ドーン,2025,3.0,103852,Until Dawn,5.7
2026/03/23 01:10,キングダム,2019,3.9,89983,,
2026/03/23 03:30,闇金ドッグスX 後編,2024,1.5,102008,,
2026/03/23 04:40,ワンス・アンド・フォーエバー,2002,3.6,1578,We Were Soldiers,7.2
2026/03/23 04:40,ワンス・アンド・フォーエバー,2002,3.6,1578,We Were Soldiers,7.2
2026/03/23 07:00,たそがれ清兵衛,2002,4.2,40621,,
2026/03/23 09:15,300＜スリーハンドレッド＞,2007,3.5,1910,300,7.6
2026/03/23 11:15,300＜スリーハンドレッド＞〜帝国の進撃〜,2014,3.2,77929,300: Rise of an Empire,6.2
2026/03/23 13:00,大きな玉ねぎの下で,2025,4.0,102258,,
2026/03/23 15:00,アメリカン・フィクション,2023,3.7,101122,American Fiction,7.5
2026/03/23 17:15,ホワイトアウト,2009,2.9,53806,Whiteout,5.5
2026/03/23 19:30,突然、君がいなくなって,2024,3.0,103651,When the Light Breaks,6.6
2026/03/23 21:00,ネイキッド・タンゴ,1990,3.0,62885,Naked Tango,5.7
2026/03/23 22:45,FOG OF WAR 見えざる真実,2025,2.7,104087,Fog of War,4.0
