日時,番組名,公開年,評価,ID,原題,IMDb
2026/03/24 04:10,ドロステのはてで僕ら,2020,3.9,92051,,
2026/03/24 05:30,ロングレッグス,2023,2.8,102089,Longlegs,6.5
2026/03/24 07:15,隠し剣 鬼の爪,2004,3.6,1466,,
2026/03/24 09:30,ハナミズキ,2010,3.1,55077,,
2026/03/24 11:45,ファンシイダンス,1989,2.9,39128,,
2026/03/24 13:30,トップガン,1986,3.7,21197,Top Gun,7.0
2026/03/24 15:30,ノー・アザー・ランド 故郷は他にない,2024,4.1,102564,No Other Land,8.2
2026/03/24 17:15,糸,2020,3.5,91361,,
2026/03/24 19:30,犬の裁判,2024,3.2,103413,Le proces du chien,6.0
2026/03/24 21:00,クリフハンガー,1993,3.3,44059,Cliffhanger,6.5
2026/03/24 23:00,ミッドナイト・エスケープ,不明,-,,,
2026/03/25 00:30,科捜研の女 −劇場版−,2021,3.6,94346.0,,
