観測地点番号,観測地点名
11001,宗谷岬
11016,稚内
11046,礼文
11061,声問
11076,浜鬼志別
11091,本泊
11121,沼川
11151,沓形
11176,豊富
11206,浜頓別
11276,中頓別
11291,北見枝幸
11316,歌登
12011,中川
12041,音威子府
12066,小車
12141,美深
12181,名寄
12217,西風連
12231,下川
12256,剣淵
12261,士別
12266,朝日
12301,和寒
12386,江丹別
12396,比布
12411,上川
12442,旭川
12451,東川
12457,瑞穂
12471,層雲峡
12501,東神楽
12512,志比内
12551,美瑛
12596,上富良野
12607,白金
12626,富良野
12632,麓郷
12686,金山
12691,幾寅
12746,占冠
13011,幌延
13061,天塩
13086,遠別
13121,初山別
13146,焼尻
13181,羽幌
13206,古丹別
13261,達布
13277,留萌
13311,増毛
13321,幌糠
14026,浜益
14071,厚田
14101,新篠津
14116,山口
14121,石狩
14136,江別
14157,手稲山
14163,札幌
14191,小金湯
14206,恵庭島松
14286,支笏湖畔
14296,千歳
15041,朱鞠内
15076,幌加内
15116,石狩沼田
15156,秩父別
15161,深川
15197,雨竜
15216,新城
15231,空知吉野
15241,滝川
15247,赤平
15251,芦別
15276,浦臼
15311,月形
15321,美唄
15356,岩見沢
15391,栗沢
15431,長沼
15442,夕張
15451,鹿島
15491,沼の沢
16026,美国
16061,神恵内
16076,余市
16091,小樽
16126,赤井川
16156,共和
16206,蘭越
16217,倶知安
16252,寿都
16272,ニセコ
16281,真狩
16286,喜茂別
16321,黒松内
17036,雄武
17076,興部
17091,西興部
17112,紋別
17116,紋別小向
17166,湧別
17196,滝上
17211,上藻別
17246,常呂
17306,遠軽
17316,佐呂間
17341,網走
17351,宇登呂
17386,丸瀬布
17482,白滝
17501,生田原
17512,仁頃山
17521,北見
17531,女満別
17541,東藻琴
17546,小清水
17561,斜里
17596,留辺蘂
17607,境野
17631,美幌
17642,山園
17686,置戸常元
17717,津別
17776,津別二又
18038,羅臼
18091,糸櫛別
18136,標津
18161,上標津
18171,中標津
18174,根室中標津
18256,別海
18273,根室
18281,納沙布
18311,厚床
19021,川湯
19051,弟子屈
19076,阿寒湖畔
19151,標茶
19191,鶴居
19261,中徹別
19281,塘路
19301,茶内原野
19311,榊町
19346,阿寒
19347,鶴丘
19376,太田
19406,二俣
19416,白糠
19432,釧路
19451,知方学
20047,三股
20071,小利別
20146,陸別
20186,ぬかびら源泉郷
20202,柏倉
20222,上螺湾
20266,上士幌
20276,足寄
20331,押帯
20341,本別
