https://eco.mtk.nao.ac.jp/cgi-bin/koyomi/koyomix.cgi


大阪

2025/1/1, 34.67, 135.5
0,07:05,16:58
500,07:01,17:02
1000,06:59,17:04
1500,06:58,17:06
2000,06:56,17:07
2500,06:55,17:08
3000,06:54,17:09
3500,06:54,17:10

2025/7/1, 34.67, 135.5
0,04:48,19:15
500,04:44,19:20
1000,04:42,19:21
1500,04:41,19:23
2000,04:40,19:24
2500,04:39,19:25
3000,04:38,19:26
3500,04:37,19:27


東京

2025/1/1,35.66,139.74
0,06:51,16:39
500,06:46,16:43
1000,06:44,16:45
1500,06:43,16:46
2000,06:42,16:47
2500,06:41,16:48
3000,06:40,16:49
3500,06:39,16:50

2025/7/1,35.66,139.74
0,04:29,19:01
500,04:24,19:05
1000,04:22,19:07
1500,04:21,19:09
2000,04:20,19:10
2500,04:19,19:11
3000,04:18,19:12
3500,04:17,19:13


札幌

2025/1/1,43.07,141.35
0,07:06,16:10
500,07:01,16:15
1000,06:59,16:17
1500,06:57,16:19
2000,06:56,16:20
2500,06:55,16:22
3000,06:54,16:23
3500,06:53,16:24


